CDP_ID,company_name,Row,ets_name,scope1_share,scope2_share,period_start,period_end,allowances_allocated,allowances_purchased,verrified_scope1,verified_scope2,details,comment
427,Air Canada,1,Alberta TIER - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,2,Australia ERF Safeguard Mechanism - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,3,BC GGIRCA - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,4,Beijing pilot ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,5,California CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,6,Canada federal OBPS - ETS,0.1,0.0,2022-01-01,2022-12-31,0.0,0.0,12744.61,0.0,Facilities we own and operate,
427,Air Canada,7,China national ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,8,Chongqing pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,9,EU ETS,0.0,0.0,2022-01-01,2022-12-31,136.0,0.0,136.0,0.0,"Other, please specify: Aircraft we own or lease and operate",
427,Air Canada,10,Fujian pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,11,Germany ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,12,Guangdong pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,13,Hubei pilot ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,14,Kazakhstan ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,15,Korea ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,16,Massachusetts state ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,17,Mexico pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,18,New Brunswick ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,19,New Zealand ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,20,Newfoundland and Labrador PSS – ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,21,Nova Scotia CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,22,Ontario EPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,23,Oregon ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,24,Québec CaT - ETS,0.1,0.0,2022-01-01,2022-12-31,0.0,0.0,13338.0,0.0,Facilities we own and operate,
427,Air Canada,25,RGGI - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,26,Saitama ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,27,Saskatchewan OBPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,28,Shanghai pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,29,Shenzhen pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,30,Switzerland ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,31,Tianjin pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,32,Tokyo CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,33,UK ETS,0.0,0.0,2022-01-01,2022-12-31,0.0,0.0,0.0,0.0,"Other, please specify: Aircraft we own or lease and operate",
427,Air Canada,34,Washington CAR - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,35,"Other ETS, please specify",55.0,0.0,2022-01-01,2022-12-31,0.0,0.0,7284638.0,0.0,"Other, please specify: Aircraft we own or lease and operate",ICAO CORSIA
427,Air Canada,36,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,37,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,38,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,39,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
427,Air Canada,40,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,1,Alberta TIER - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,2,Australia ERF Safeguard Mechanism - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,3,BC GGIRCA - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,4,Beijing pilot ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,5,California CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,6,Canada federal OBPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,7,China national ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,8,Chongqing pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,9,EU ETS,21.8,100.0,2022-01-01,2022-12-31,2591637.0,2341692.0,22619600.0,18300.0,Facilities we own and operate,"URD p. 258: Verified scope 1 emissions is the total of Conventional Aviation Fuel, SAF and Ground operations. Total emissions AFKLM under ETS (EU + CH +UK)  – Free rights AFKLM (EU+UK+CH)  = 5 144 313 – 2 723 140 = 2 421 173 Please note that 2 486 000 is mentioned in the URD, however this number was provisional as we returned the allowances to the regulators in April which explains the slight difference. In the URD only the total number of ETS is mentioned, here we provide the split in EU, CH, UK."
429,Air France - KLM,10,Fujian pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,11,Germany ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,12,Guangdong pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,13,Hubei pilot ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,14,Kazakhstan ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,15,Korea ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,16,Massachusetts state ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,17,Mexico pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,18,New Brunswick ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,19,New Zealand ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,20,Newfoundland and Labrador PSS – ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,21,Nova Scotia CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,22,Ontario EPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,23,Oregon ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,24,Québec CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,25,RGGI - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,26,Saitama ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,27,Saskatchewan OBPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,28,Shanghai pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,29,Shenzhen pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,30,Switzerland ETS,0.25,100.0,2022-01-01,2022-12-31,38990.0,17200.0,22619600.0,18300.0,Facilities we own and operate,
429,Air France - KLM,31,Tianjin pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,32,Tokyo CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,33,UK ETS,0.68,100.0,2022-01-01,2022-12-31,92513.0,62281.0,22619600.0,18300.0,Facilities we own and operate,
429,Air France - KLM,34,Washington CAR - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,35,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,36,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,37,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,38,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,39,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,40,"Other ETS, please specify",Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,1,Alberta TIER - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,2,Australia ERF Safeguard Mechanism - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,3,BC GGIRCA - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,4,Beijing pilot ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,5,California CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,6,Canada federal OBPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,7,China national ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,8,Chongqing pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,9,EU ETS,0.0,0.0,2021-01-01,2021-12-31,0.0,0.0,0.0,0.0,"Other, please specify: 当社が所有し運航する航空機",EU-ETS の対象便は出発および到着の両方がEU 内の空港である運航便であり、当社はかかる定期便は運航していない。従って対象便はEU 内の空港を出発した後に気象条件や急病人等の事由で、他のEU 内の空港への着陸を余儀なくされた場合や、チャーター便のEU 内のフェリーフライト等に限られる。尚、対象期間については、新型コロナウイルス感染症の影響により、ヨーロッパ便の減便、及びチャーターが無かったため、対象区間はなく、オフセットも発生しなかった。
550,ANA Holdings Inc.,10,Fujian pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,11,Germany ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,12,Guangdong pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,13,Hubei pilot ETS ,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,14,Kazakhstan ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,15,Korea ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,16,Massachusetts state ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,17,Mexico pilot ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,18,New Brunswick ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,19,New Zealand ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,20,Newfoundland and Labrador PSS – ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,21,Nova Scotia CaT - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
550,ANA Holdings Inc.,22,Ontario EPS - ETS,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
