Account number,Organization,Row,RowName,project_type,mitigatin_activity,project_description,credit_retired,purpose_retiring,purchased_issued,standard
427,Air Canada,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
429,Air France - KLM,1,,Reforestation,Emissions reduction,"A combination of: Kikonda Forest Reverve, CO2OL Tropical Mix and Vichada Climate Reforestation Project (PAZ). Kikonda Forest Reserve: The prize winning Kikonda Forestation project lies in the heart of East Africa comprising 120 km² and employing more than 200 people. It is the first in the country to be granted CarbonFix certification for its one-of-a-kind positive social and ecological impact. By 2008 more than 1 million trees had been planted on an area equivalent to approximately 2 000 soccer fields which will store more than 200 000 tonnes of CO2. Through this project, more than 200 people have not only found jobs, but also benefited from additional services provided by the project developer, such as the provision of housing, medical care or the support of local schools. Furthermore, the project has initiated a program to train people of neighbouring villages in tree-planting. The project received in 2006 and 2008 the sought after Ugandan ‘Best Planter Award'. The project has also earned FSC certification.CO2OL Tropical Mix: Degraded land, originally forest land, later used for extensive cattle ranching, is reforested with mostly native tree species and gradually converted into mixed forests. The project provides for sustainable timber production and cocoa cultivation; it protects biodiversity and restores a healthy forest ecosystem. Sustainable forest management and cocoa production offer employment opportunities, therefore improve the economic and social situation of rural communities and families. Moreover, the project helps to promote mutual learning and knowledge transfer. CO2OL Tropical Mix has been one of the first in line to be successfully certified under the renowned Gold Standard for land use and forestry projects; the cocoa production areas have been the first agroforestry systems to be certified under the Gold Standard.Vichada Climate Reforestation Project (PAZ):Located in the Orinoco river basin in Colombia, the Vichada Climate Reforestation projec",106520.00,Compliance with a carbon pricing system,Purchased,Gold Standard
429,Air France - KLM,2,,Wind,Emissions reduction,"Mersin Wind Farm: The Mersin Wind Farm Project is located in Mut district of Mersin province, Turkey. Currently, Turkey's energy supply is predominantly sourced from burning fossil fuels, releasing polluting greenhouse gases into the atmosphere. This wind farm generates clean energy from wind power, displacing the need to burn fossil fuels.",9491.00,Compliance with a carbon pricing system,Purchased,Gold Standard
550,ANA Holdings Inc.,1,,"Other, please specify: 森林経営と省エネ活動",Emissions reduction,当社グループは、2019年9月からキャノン製の複合機の利用を順次開始している。当該複合機は、経済産業省が主導する「カーボンフットプリントを利用したカーボンオフセット制度」を導入したクレジット付製品であり、オフセット・クレジットの内、使用維持部分を自社削減分として報告することができるものとなっている。キャノン株式会社は製品の原材料調達から廃棄・リサイクルまでの商品ライフサイクル全体を通して排出されるCO2を見える化し、削減できない箇所に相当する分のクレジットを購入することでカーボン・オフセットを実施している会社である。当社グループとしては、償却申請を行い、キャノン株式会社より代理償却証明書を受領することにより、キャノン株式会社が購入したクレジットのうち当社グループの使用維持管理に係る部分を当社グループのCO2償却量として活用する。,152.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: キャノンのカーボン・オフセット"
660,American Airlines Group Inc,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
1800,Bharat Petroleum Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
1932,BMW AG,1,,Solar,Emissions reduction,"Small project in renewable energies and a small part of a larger project in renewable energies.Following the principle ‘First reduce, then offset’, the carbon emissions either directly or indirectly generated by BMW Group locations are already within the 1.5°C pathway calculated for the BMW Group. The emissions remaining after applying mitigation measures in the BMW Group’s carbon footprint Scope 1 and Scope 2 as well as the Scope 3 category “business travel” are offset by means of voluntary compensation certificates. In cooperation with well-known partners such as atmosfair or First Climate, we support climate protection projects that meet strict criteria, such as permanent decarbonization, additionality, the avoidance of double-counting and additional social benefits (SDG co-benefits).For the small solar project, the SDG co-benefits are listed below.",44835.00,Voluntary offsetting,Purchased,Gold Standard
1932,BMW AG,2,,Clean cookstove distribution,Emissions reduction,"Efficient cookpots (60-80% more efficient than usual source of cooking energy) in rural areas in developing countries.Following the principle ‘First reduce, then offset’, the carbon emissions either directly or indirectly generated by BMW Group locations are already within the 1.5°C pathway calculated for the BMW Group. The emissions remaining after applying mitigation measures in the BMW Group’s carbon footprint Scope 1 and Scope 2 as well as the Scope 3 category “business travel” are offset by means of voluntary compensation certificates. In cooperation with well-known partners such as atmosfair or First Climate, we support climate protection projects that meet strict criteria, such as permanent decarbonization, additionality, the avoidance of double-counting and additional social benefits (SDG co-benefits).For our efficient cookstove projects, these are e.g. health benefits from a reduction of respiratory, lung and eye illnesses. As an example, the full list of SDG co-benefits monitored and not monitored for one of our cookstove projects is listed below.",59500.00,Voluntary offsetting,Purchased,Gold Standard
1932,BMW AG,3,,Energy efficiency: households,Emissions reduction,"Small biogas units for households in rural, poor areas.Following the principle ‘First reduce, then offset’, the carbon emissions either directly or indirectly generated by BMW Group locations are already within the 1.5°C pathway calculated for the BMW Group. The emissions remaining after applying mitigation measures in the BMW Group’s carbon footprint Scope 1 and Scope 2 as well as the Scope 3 category “business travel” are offset by means of voluntary compensation certificates. In cooperation with well-known partners such as atmosfair or First Climate, we support climate protection projects that meet strict criteria, such as permanent decarbonization, additionality, the avoidance of double-counting and additional social benefits (SDG co-benefits).For our small scale household biogas projects, these are e.g. health benefits from a reduction of respiratory illnesses, formerly caused by breathing smoky air from woodfires. The full list of SDG co-benefits monitored and not monitored is listed below.",440550.00,Voluntary offsetting,Purchased,Gold Standard
1932,BMW AG,4,,Energy efficiency: households,Emissions reduction,"Small biogas units for households in rural, poor areas.Following the principle ‘First reduce, then offset’, the carbon emissions either directly or indirectly generated by BMW Group locations are already within the 1.5°C pathway calculated for the BMW Group. The emissions remaining after applying mitigation measures in the BMW Group’s carbon footprint Scope 1 and Scope 2 as well as the Scope 3 category “business travel” are offset by means of voluntary compensation certificates. In cooperation with well-known partners such as atmosfair or First Climate, we support climate protection projects that meet strict criteria, such as permanent decarbonization, additionality, the avoidance of double-counting and additional social benefits (SDG co-benefits).For our small scale household biogas projects, these are e.g. health benefits from a reduction of respiratory illnesses, formerly caused by breathing smoky air from woodfires. The full list of SDG co-benefits monitored and not monitored is listed below.",306643.00,Voluntary offsetting,Purchased,Gold Standard
