Account number,Organization,RowName,scope1_emissions
427,Air Canada,Reporting year,9507485.334
429,Air France - KLM,Reporting year,22620100
550,ANA Holdings Inc.,Reporting year,7694587
660,American Airlines Group Inc,Reporting year,34628819
1800,Bharat Petroleum Corporation,Reporting year,6681830
1932,BMW AG,Reporting year,694057
2083,BP,Reporting year,30400000
2667,Canadian Natural Resources Limited,Reporting year,23243129
2926,Cathay Pacific Airways Limited,Reporting year,5349881
3751,ConocoPhillips,Reporting year,14954000
3889,"Cosmo Energy Holdings Co., Ltd.",Reporting year,7196365
4408,Delta Air Lines,Reporting year,30741000
4657,Deutsche Lufthansa AG,Reporting year,23210476
4678,Devon Energy Corporation,Reporting year,4590000
5021,DTE Energy Company,Reporting year,27081000
5170,easyJet,Reporting year,6421434
5581,Enbridge Inc.,Reporting year,7715000
5634,Eni SpA,Reporting year,39394146
5767,"EOG Resources, Inc.",Reporting year,5058838
6332,Finnair,Reporting year,2479968
6595,Ford Motor Company,Reporting year,1197738.53
6602,Formosa Petrochemical,Reporting year,24000546.62
6855,SUBARU CORPORATION,Reporting year,264961.3
7164,General Motors Company,Reporting year,1466452
7581,Gol Linhas Aereas Inteligentes S.A.,Reporting year,2736384
8362,"Hino Motors, Ltd.",Reporting year,137048
8566,"Honda Motor Co., Ltd.",Reporting year,1090000
8708,Hyundai Motor Co,Reporting year,704726
8793,"Idemitsu Kosan Co., Ltd.",Reporting year,13857770
9134,Inpex Corporation,Reporting year,6338585.707
9559,Isuzu Motors Limited,Reporting year,147513
9703,Japan Airlines Corporation,Reporting year,8222143
9759,Jetblue Airways Corporation,Reporting year,8291102
10076,Kia Motors Corp,Reporting year,379947
10150,Kinder Morgan Inc.,Reporting year,14900000
10289,Korean Air Lines Co Ltd,Reporting year,8631157
11043,PJSC Lukoil,Reporting year,41201605
11267,Mahindra & Mahindra,Reporting year,58936
11520,Mazda Motor Corporation,Reporting year,122480
12263,Mitsubishi Motors Corporation,Reporting year,94688
12343,MOL Nyrt.,Reporting year,6638762
13363,"Nissan Motor Co., Ltd.",Reporting year,669287
13649,Occidental Petroleum Corporation,Reporting year,17601344
13870,OMV AG,Reporting year,11689025
14169,PACCAR Inc,Reporting year,121140
14654,Petróleo Brasileiro SA - Petrobras,Reporting year,47642781.24
14774,ORLEN S.A.,Reporting year,20643083
14802,Pioneer Natural Resources,Reporting year,2867859
15297,PTT,Reporting year,44543824
15634,Renault Group,Reporting year,423071
15669,Repsol,Reporting year,15678995
16012,Shell PLC,Reporting year,51000000
16418,Schlumberger Limited,Reporting year,1482881
17420,Southwest Airlines Co.,Reporting year,18627259
17929,Suncor Energy Inc.,Reporting year,33515277
18074,Suzuki Motor Corporation,Reporting year,401308
18285,Tata Motors,Reporting year,63728
19257,TotalEnergies,Reporting year,37220000
19290,Toyota Motor Corporation,Reporting year,2370000
19304,TC Energy,Reporting year,21132249
19569,United Airlines Holdings,Reporting year,30400715
20048,Valero Energy Corporation,Reporting year,26880000
20309,Volkswagen AG,Reporting year,4461403
20705,"The Williams Companies, Inc.",Reporting year,12094016.07
20949,YPF SA,Reporting year,9912271
21135,KOÇ HOLDİNG A.Ş.,Reporting year,6864059
21148,TÜRK HAVA YOLLARI A.O.,Reporting year,18170029.62
21845,San Miguel Corp,Reporting year,17485337.68
22213,Ryanair Holding PLC,Reporting year,14266186
22341,Ecopetrol S.A.,Reporting year,13159479
22460,Hawaiian Holding,Reporting year,2304897
23132,Equinor,Reporting year,11365833
23144,Norwegian Air Shuttle ASA,Reporting year,1741634.9
29901,"ENEOS Holdings, Inc.",Reporting year,21102000
31588,"Copa Holdings, S.A.",Reporting year,2796866.37
36606,Marathon Petroleum,Reporting year,33700000
36707,"International Consolidated Airlines Group, S.A.",Reporting year,21158169
36979,SK Innovation Co Ltd,Reporting year,9220337
44253,Grupo Aeromexico SAB de CV,Reporting year,3823270
49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,Reporting year,2507472.39
50174,Avianca Group,Reporting year,4481431.67
58656,NFI Group Inc.,Reporting year,152127
58720,Wizz Air Holdings,Reporting year,4811337
59325,Ferrari,Reporting year,81668
59365,Chorus Aviation,Reporting year,986768
73994,Azul Sa,Reporting year,3089851.26
839615,KazMunayGas National Company JCS,Reporting year,8076435.63
840836,Volvo Car Group,Reporting year,73000
849766,Petroliam Nasional Berhad (PETRONAS),Reporting year,47620000
866803,Mercedes-Benz Group AG,Reporting year,569000
