Account number,Organization,Row,RowName,scope2_location_based,scope2_market_based
427,Air Canada,1,Row 1,19748,Question not applicable
429,Air France - KLM,1,Row 1,58880,Question not applicable
660,American Airlines Group Inc,1,Row 1,375400,Question not applicable
550,ANA Holdings Inc.,1,Row 1,82581,82581
50174,Avianca Group,1,Row 1,3939.81,Question not applicable
1932,BMW AG,1,Row 1,1572432,510911
2667,Canadian Natural Resources Limited,1,Row 1,1986247,Question not applicable
2926,Cathay Pacific Airways Limited,1,Row 1,101909,79538
3751,ConocoPhillips,1,Row 1,1219404,Question not applicable
3889,"Cosmo Energy Holdings Co., Ltd.",1,Row 1,Question not applicable,494000
4408,Delta Air Lines,1,Row 1,296269,296269
4657,Deutsche Lufthansa AG,1,Row 1,260847,241338
4678,Devon Energy Corporation,1,Row 1,567536,Question not applicable
5021,DTE Energy Company,1,Row 1,1715000,Question not applicable
5581,Enbridge Inc.,1,Row 1,6436170,6456685
29901,"ENEOS Holdings, Inc.",1,Row 1,6000,3130000
5634,Eni SpA,1,Row 1,651274,Question not applicable
5767,"EOG Resources, Inc.",1,Row 1,Question not applicable,Question not applicable
23132,Equinor,1,Row 1,257765,2619064
6332,Finnair,1,Row 1,Question not applicable,19292
6595,Ford Motor Company,1,Row 1,3482444,3359908
7164,General Motors Company,1,Row 1,4572734,4302887
8362,"Hino Motors, Ltd.",1,Row 1,219920,Question not applicable
8566,"Honda Motor Co., Ltd.",1,Row 1,3790000,4100000
8708,Hyundai Motor Co,1,Row 1,1797736,1771132
9134,Inpex Corporation,1,Row 1,2185,42010
36707,"International Consolidated Airlines Group, S.A.",1,Row 1,92638,61916
9559,Isuzu Motors Limited,1,Row 1,91586,85928
9703,Japan Airlines Corporation,1,Row 1,67000,Question not applicable
9759,Jetblue Airways Corporation,1,Row 1,26521,Question not applicable
10076,Kia Motors Corp,1,Row 1,811553,778584
11267,Mahindra & Mahindra,1,Row 1,229217,226950
11520,Mazda Motor Corporation,1,Row 1,616360,Question not applicable
12263,Mitsubishi Motors Corporation,1,Row 1,410151,419856
13363,"Nissan Motor Co., Ltd.",1,Row 1,2563866,2394109
13649,Occidental Petroleum Corporation,1,Row 1,4200000,Question not applicable
13870,OMV AG,1,Row 1,246128,Question not applicable
14169,PACCAR Inc,1,Row 1,165487,171728
49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,1,Row 1,2718.99,Question not applicable
14654,Petróleo Brasileiro SA - Petrobras,1,Row 1,438593,Question not applicable
11043,PJSC LUKOIL,1,Row 1,Question not applicable,Question not applicable
15297,PTT,1,Row 1,367086,1302360
15634,Renault Group,1,Row 1,704277,610009
15669,Repsol,1,Row 1,400931,438196
16012,Royal Dutch Shell,1,Row 1,11000000,12000000
17420,Southwest Airlines Co.,1,Row 1,57634,38503
6855,SUBARU CORPORATION,1,Row 1,Question not applicable,340262.28
17929,Suncor Energy Inc.,1,Row 1,1717520,1368995
18285,Tata Motors,1,Row 1,311058,0
19304,TC Energy,1,Row 1,344019,Question not applicable
19257,TotalEnergies,1,Row 1,4000000,Question not applicable
19290,Toyota Motor Corporation,1,Row 1,5265425,Question not applicable
19569,United Airlines Holdings,1,Row 1,331527,Question not applicable
20309,Volkswagen AG,1,Row 1,5901889,4907050
