Account number,Organization,RowName,scope2_location_based,scope2_market_based
427,Air Canada,Reporting year,8705.099,Question not applicable
429,Air France - KLM,Reporting year,50700,18300
550,ANA Holdings Inc.,Reporting year,65855,65855
660,American Airlines Group Inc,Reporting year,205818,125781
1800,Bharat Petroleum Corporation,Reporting year,523500,Question not applicable
1932,BMW AG,Reporting year,1187339,91300
2083,BP,Reporting year,2100000,1500000
2667,Canadian Natural Resources Limited,Reporting year,3092646,Question not applicable
2926,Cathay Pacific Airways Limited,Reporting year,70564,40442
3751,ConocoPhillips,Reporting year,1060000,Question not applicable
3889,"Cosmo Energy Holdings Co., Ltd.",Reporting year,285806,254235
4408,Delta Air Lines,Reporting year,203486,Question not applicable
4657,Deutsche Lufthansa AG,Reporting year,200314,125245
4678,Devon Energy Corporation,Reporting year,390000,Question not applicable
5021,DTE Energy Company,Reporting year,197000,Question not applicable
5170,easyJet,Reporting year,Question not applicable,0
5581,Enbridge Inc.,Reporting year,6693000,6117000
5634,Eni SpA,Reporting year,788871,Question not applicable
5767,"EOG Resources, Inc.",Reporting year,391603,Question not applicable
6332,Finnair,Reporting year,5596,5441
6595,Ford Motor Company,Reporting year,2557313.41,1592243.49
6602,Formosa Petrochemical,Reporting year,423554.863,Question not applicable
6855,SUBARU CORPORATION,Reporting year,270382.7,228273.3
7164,General Motors Company,Reporting year,2996074,2078738
7581,Gol Linhas Aereas Inteligentes S.A.,Reporting year,502,Question not applicable
8362,"Hino Motors, Ltd.",Reporting year,Question not applicable,218370
8566,"Honda Motor Co., Ltd.",Reporting year,3249764,2727372
8708,Hyundai Motor Co,Reporting year,1853812,1684120
8793,"Idemitsu Kosan Co., Ltd.",Reporting year,552582,443174
9134,Inpex Corporation,Reporting year,596.433,47699.609
9559,Isuzu Motors Limited,Reporting year,157163,135244
9703,Japan Airlines Corporation,Reporting year,54331,56139
9759,Jetblue Airways Corporation,Reporting year,28572,Question not applicable
10076,Kia Motors Corp,Reporting year,814394,786987
10150,Kinder Morgan Inc.,Reporting year,3100000,3200000
10289,Korean Air Lines Co Ltd,Reporting year,43301,Question not applicable
11043,PJSC Lukoil,Reporting year,5685287,Question not applicable
11267,Mahindra & Mahindra,Reporting year,202306,Question not applicable
11520,Mazda Motor Corporation,Reporting year,503860,799190
12263,Mitsubishi Motors Corporation,Reporting year,313985,272352
12343,MOL Nyrt.,Reporting year,591918,698447
13363,"Nissan Motor Co., Ltd.",Reporting year,1726945,1435081
13649,Occidental Petroleum Corporation,Reporting year,4903258,Question not applicable
13870,OMV AG,Reporting year,915168,941551
14169,PACCAR Inc,Reporting year,149503,164645
14654,Petróleo Brasileiro SA - Petrobras,Reporting year,156456.92,157.16
14774,ORLEN S.A.,Reporting year,,
14802,Pioneer Natural Resources,Reporting year,482284,Question not applicable
15297,PTT,Reporting year,650610,851432
15634,Renault Group,Reporting year,415885,183201
15669,Repsol,Reporting year,400881,298898
16012,Shell PLC,Reporting year,8000000,7000000
16418,Schlumberger Limited,Reporting year,Question not applicable,311793
17420,Southwest Airlines Co.,Reporting year,36487,30376
17929,Suncor Energy Inc.,Reporting year,1360576,1386799
18074,Suzuki Motor Corporation,Reporting year,770908,707729
18285,Tata Motors,Reporting year,278465,0
19257,TotalEnergies,Reporting year,2140000,2430000
19290,Toyota Motor Corporation,Reporting year,3810000,2870000
19304,TC Energy,Reporting year,2113830,Question not applicable
19569,United Airlines Holdings,Reporting year,166757,149251
20048,Valero Energy Corporation,Reporting year,5448000,5318000
20309,Volkswagen AG,Reporting year,4650011,2108564
20705,"The Williams Companies, Inc.",Reporting year,1777329.71,Question not applicable
20949,YPF SA,Reporting year,1455322,1928071
21135,KOÇ HOLDİNG A.Ş.,Reporting year,Question not applicable,127838
21148,TÜRK HAVA YOLLARI A.O.,Reporting year,64219.33,56406.69
21845,San Miguel Corp,Reporting year,728258.25,Question not applicable
22213,Ryanair Holding PLC,Reporting year,3349,2372
22341,Ecopetrol S.A.,Reporting year,301034,499570
22460,Hawaiian Holding,Reporting year,6279,Question not applicable
23132,Equinor,Reporting year,68581,2479939
23144,Norwegian Air Shuttle ASA,Reporting year,379.1,1923.2
29901,"ENEOS Holdings, Inc.",Reporting year,5734,2365541
31588,"Copa Holdings, S.A.",Reporting year,5506.66,Question not applicable
36606,Marathon Petroleum,Reporting year,6700000,6700000
36707,"International Consolidated Airlines Group, S.A.",Reporting year,51049,11710
36979,SK Innovation Co Ltd,Reporting year,2044404,1980635
44253,Grupo Aeromexico SAB de CV,Reporting year,4364,Question not applicable
49618,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,Reporting year,6042.47,4294.77
50174,Avianca Group,Reporting year,5001.2,Question not applicable
58656,NFI Group Inc.,Reporting year,18011,15510
58720,Wizz Air Holdings,Reporting year,1158,1463
59325,Ferrari,Reporting year,17252,2344
59365,Chorus Aviation,Reporting year,3053,Question not applicable
73994,Azul Sa,Reporting year,316.11,Question not applicable
839615,KazMunayGas National Company JCS,Reporting year,3278949.47,3217033.4
840836,Volvo Car Group,Reporting year,223000,40000
849766,Petroliam Nasional Berhad (PETRONAS),Reporting year,1960000,Question not applicable
866803,Mercedes-Benz Group AG,Reporting year,1121000,94000
