,Account number,Organization,Row,RowName,evaluation_status,scope3_emissions
935,427,Air Canada,1,Purchased goods and services,"Relevant, calculated",1007649.944
936,427,Air Canada,2,Capital goods,"Relevant, not yet calculated",Question not applicable
937,427,Air Canada,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, not yet calculated",Question not applicable
938,427,Air Canada,4,Upstream transportation and distribution,"Relevant, not yet calculated",Question not applicable
939,427,Air Canada,5,Waste generated in operations,"Relevant, not yet calculated",Question not applicable
940,427,Air Canada,6,Business travel,"Relevant, not yet calculated",Question not applicable
941,427,Air Canada,7,Employee commuting,"Relevant, not yet calculated",Question not applicable
942,427,Air Canada,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
943,427,Air Canada,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
944,427,Air Canada,10,Processing of sold products,"Relevant, not yet calculated",Question not applicable
945,427,Air Canada,11,Use of sold products,"Relevant, not yet calculated",Question not applicable
946,427,Air Canada,12,End of life treatment of sold products,"Relevant, not yet calculated",Question not applicable
947,427,Air Canada,13,Downstream leased assets,"Relevant, calculated",5009
948,427,Air Canada,14,Franchises,"Not relevant, explanation provided",Question not applicable
949,427,Air Canada,15,Investments,"Relevant, not yet calculated",Question not applicable
950,427,Air Canada,16,Other (upstream),,Question not applicable
951,427,Air Canada,17,Other (downstream),,Question not applicable
952,429,Air France - KLM,1,Purchased goods and services,"Relevant, calculated",1376889
953,429,Air France - KLM,2,Capital goods,"Relevant, calculated",1695523
954,429,Air France - KLM,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",5746000
955,429,Air France - KLM,4,Upstream transportation and distribution,"Relevant, not yet calculated",Question not applicable
956,429,Air France - KLM,5,Waste generated in operations,"Relevant, not yet calculated",Question not applicable
957,429,Air France - KLM,6,Business travel,"Relevant, not yet calculated",Question not applicable
958,429,Air France - KLM,7,Employee commuting,"Relevant, not yet calculated",Question not applicable
959,429,Air France - KLM,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
960,429,Air France - KLM,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
961,429,Air France - KLM,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
962,429,Air France - KLM,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
963,429,Air France - KLM,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
964,429,Air France - KLM,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
965,429,Air France - KLM,14,Franchises,"Not relevant, explanation provided",Question not applicable
966,429,Air France - KLM,15,Investments,"Relevant, not yet calculated",Question not applicable
967,429,Air France - KLM,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
968,429,Air France - KLM,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
1190,550,ANA Holdings Inc.,1,Purchased goods and services,"Relevant, calculated",548792
1191,550,ANA Holdings Inc.,2,Capital goods,"Relevant, calculated",327228
1192,550,ANA Holdings Inc.,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1038052
1193,550,ANA Holdings Inc.,4,Upstream transportation and distribution,"Relevant, calculated",1101
1194,550,ANA Holdings Inc.,5,Waste generated in operations,"Relevant, calculated",17284
1195,550,ANA Holdings Inc.,6,Business travel,"Relevant, calculated",2261
1196,550,ANA Holdings Inc.,7,Employee commuting,"Relevant, calculated",8910
1197,550,ANA Holdings Inc.,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
1198,550,ANA Holdings Inc.,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
1199,550,ANA Holdings Inc.,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
1200,550,ANA Holdings Inc.,11,Use of sold products,"Relevant, calculated",0
1201,550,ANA Holdings Inc.,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
1202,550,ANA Holdings Inc.,13,Downstream leased assets,"Relevant, calculated",55605
1203,550,ANA Holdings Inc.,14,Franchises,"Not relevant, explanation provided",Question not applicable
1204,550,ANA Holdings Inc.,15,Investments,"Not relevant, explanation provided",Question not applicable
1205,550,ANA Holdings Inc.,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
1206,550,ANA Holdings Inc.,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
1496,660,American Airlines Group Inc,1,Purchased goods and services,"Relevant, calculated",1856329
1497,660,American Airlines Group Inc,2,Capital goods,"Relevant, calculated",302977
1498,660,American Airlines Group Inc,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",7350276
1499,660,American Airlines Group Inc,4,Upstream transportation and distribution,"Relevant, calculated",3477988
1500,660,American Airlines Group Inc,5,Waste generated in operations,"Relevant, calculated",1845
1501,660,American Airlines Group Inc,6,Business travel,"Relevant, calculated",94128
1502,660,American Airlines Group Inc,7,Employee commuting,"Relevant, calculated",232349
1503,660,American Airlines Group Inc,8,Upstream leased assets,"Relevant, calculated",22323
1504,660,American Airlines Group Inc,9,Downstream transportation and distribution,"Relevant, calculated",17779
1505,660,American Airlines Group Inc,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
1506,660,American Airlines Group Inc,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
1507,660,American Airlines Group Inc,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
1508,660,American Airlines Group Inc,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
1509,660,American Airlines Group Inc,14,Franchises,"Not relevant, explanation provided",Question not applicable
1510,660,American Airlines Group Inc,15,Investments,"Relevant, calculated",411742
1511,660,American Airlines Group Inc,16,Other (upstream),Not evaluated,Question not applicable
1512,660,American Airlines Group Inc,17,Other (downstream),Not evaluated,Question not applicable
3825,1800,Bharat Petroleum Corporation,1,Purchased goods and services,"Not relevant, explanation provided",Question not applicable
3826,1800,Bharat Petroleum Corporation,2,Capital goods,"Not relevant, explanation provided",Question not applicable
3827,1800,Bharat Petroleum Corporation,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
3828,1800,Bharat Petroleum Corporation,4,Upstream transportation and distribution,"Not relevant, calculated",314220
3829,1800,Bharat Petroleum Corporation,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
3830,1800,Bharat Petroleum Corporation,6,Business travel,"Not relevant, calculated",1210
3831,1800,Bharat Petroleum Corporation,7,Employee commuting,"Not relevant, explanation provided",Question not applicable
3832,1800,Bharat Petroleum Corporation,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
3833,1800,Bharat Petroleum Corporation,9,Downstream transportation and distribution,"Not relevant, calculated",536000
3834,1800,Bharat Petroleum Corporation,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
3835,1800,Bharat Petroleum Corporation,11,Use of sold products,"Relevant, not yet calculated",Question not applicable
3836,1800,Bharat Petroleum Corporation,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
3837,1800,Bharat Petroleum Corporation,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
3838,1800,Bharat Petroleum Corporation,14,Franchises,"Not relevant, explanation provided",Question not applicable
3839,1800,Bharat Petroleum Corporation,15,Investments,"Not relevant, explanation provided",Question not applicable
3840,1800,Bharat Petroleum Corporation,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
3841,1800,Bharat Petroleum Corporation,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
4046,1932,BMW AG,1,Purchased goods and services,"Relevant, calculated",19758702
4047,1932,BMW AG,2,Capital goods,"Not relevant, explanation provided",Question not applicable
4048,1932,BMW AG,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
4049,1932,BMW AG,4,Upstream transportation and distribution,"Relevant, calculated",2274178
4050,1932,BMW AG,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
4051,1932,BMW AG,6,Business travel,"Relevant, calculated",66170
4052,1932,BMW AG,7,Employee commuting,"Relevant, calculated",145284
