Company Name,Country,Continent,CDP_ID,target_type,scope,target_no,scope2_method,scope3_cat,base_year,target_year,scope_coverage,planned_reduction,abs_int,source,CDP ref,Classic Carbon Credits,Intent_removal,comment,,,,,,,,,,,,
Shell,United Kingdom,Europe,16012,intermediate,"1,2",1,market_based,,2016,2030,100,50,abs,CDP 2023,Abs 4,?,-,,,,,,,,,,,,,
Shell,United Kingdom,Europe,16012,net-zero,"1,2",2,market_based,,2016,2050,100,100,abs,CDP 2023,Abs 2,?,yes,,,,,,,,,,,,,
Shell,United Kingdom,Europe,16012,net-zero,3,1,,Category 1: Purchased goods and services; Category 11: Use of sold products; Category 3: Fuel-and-energy-related activities (not included in Scopes 1 or 2); Category 9: Downstream transportation and distribution,2016,2050,97.8,100,abs,CDP 2023,Abs 3,?,yes,,,,,,,,,,,,,
TotalEnergies,France,Europe,19257,intermediate,"1,2",1,market_based,,2015,2025,100,17.4,abs,CDP 2023,Abs 1,,,,,,,,,,,,,,,
TotalEnergies,France,Europe,19257,intermediate,"1,2",2,market_based,,2015,2030,100,40,abs,CDP 2023,Abs 2,yes,,,,,,,,,,,,,,
TotalEnergies,France,Europe,19257,net-zero,"1,2",3,market_based,,2015,2050,100,100,abs,CDP 2023,Abs 3,yes,yes,"Only in 2030 will TotalEnergies begin voluntary offsetting of its residual emissions via NBS (Nature Based Solutions) carbon credits, which will continue gradually until 2050, and will offset only its Scope 1+2 residual emissions, amounting to about 10% of the Company’s global footprint..In 2022, TotalEnergies forged new partnerships and agreements with recognized stakeholders in Gabon, Peru, Southeast Asia and Guatemala. At year-end 2022, its stock of credits stood at just under 7 million. We have budgeted $100 million annually for these projects, and the cumulative budget pledged for all of these campaigns amounts to nearly $675 million over their lifespan, with the accumulated credits expected to total 45 million in 2030 and 69 million over the lifespan of the projects. The final tally of credits obtained will be determined once the projects have been completed.
",,,,,,,,,,,,
TotalEnergies,France,Europe,19257,intermediate,3,1,,Category 11: Use of sold products,2015,2025,85.4,2.43,abs,CDP2023,Abs 6,,,,,,,,,,,,,,,
TotalEnergies,France,Europe,19257,intermediate,3,2,,Category 11: Use of sold products,2015,2030,85.4,2.43,abs,CDP 2023,Abs 7,,,,,,,,,,,,,,,
TotalEnergies,France,Europe,19257,net-zero,3,3,,Category 11: Use of sold products,2015,2050,85.4,100,abs,CDP 2023,Abs 8,,yes,,,,,,,,,,,,,
BP,United Kingdom,Europe,2083,intermediate,"1,2",1,market_based,,2019,2025,100,20,abs,CDP 2023,Abs 1,,,,,,,,,,,,,,,
BP,United Kingdom,Europe,2083,intermediate,"1,2",2,market_based,,2019,2030,100,50,abs,CDP 2023,Abs 2,,,,,,,,,,,,,,,
BP,United Kingdom,Europe,2083,net-zero,"1,2",3,market_based,,2019,2050,100,100,abs,CDP 2023,Abs 3,yes,yes,"We believe that both natural and technological emission reductions and removals are critical to reaching the Paris goals. We believe that effective compliance and voluntary markets for high quality carbon credits are important to finance these activities. We expect that global demand for carbon credits is likely to grow as more companies use them to achieve their climate-related goals. So, we intend to continue to offer carbon credits and offsetting solutions to our customers to help them meet their goals.",,,,,,,,,,,,
BP,United Kingdom,Europe,2083,intermediate,3,1,,Category 11: Use of sold products,2019,2025,77.96925218,10,abs,CDP 2023,Abs 4,,,,,,,,,,,,,,,
BP,United Kingdom,Europe,2083,intermediate,3,2,,Category 11: Use of sold products,2019,2030,77.96925218,20,abs,CDP2023,Abs 5,,,,,,,,,,,,,,,
BP,United Kingdom,Europe,2083,net-zero,3,3,,Category 11: Use of sold products,2019,2050,77.96925218,100,abs,CDP2023,Abs 6,yes,yes,"We believe that both natural and technological emission reductions and removals are critical to reaching the Paris goals. We believe that effective compliance and voluntary markets for high quality carbon credits are important to finance these activities. We expect that global demand for carbon credits is likely to grow as more companies use them to achieve their climate-related goals. So, we intend to continue to offer carbon credits and offsetting solutions to our customers to help them meet their goals.",,,,,,,,,,,,
Equinor,Norway,Europe,23132,intermediate,"1,2",1,Location-based,,2015,2030,100,50,abs,CDP2023,Abs 1,yes,,"We plan to use only carbon credits verified according to high standards and to disclose information about the type of offsets employed. To ensure quality in our carbon credits, we have established a set of corporate criteria and principles based on the Oxford Principles for Net Zero Aligned Carbon Offsetting.",,,,,,,,,,,,
Equinor,Norway,Europe,23132,net-zero,"1,2",2,Location-based,,2020,2050,100,100,abs,CDP2023,Abs 6,yes,,"Carbon offsets and nature-based solutionsIn the long term, we see negative emissions solutions as making an important contribution to the climate challenge. Offsets and removals will however play a minimal role in achieving our operated emissions reductions. We have so far only purchased offsets related to our business travel. We plan to use only credits verified according to high standards and to disclose information about the type of offsets employed. To ensure quality in the credits we will use, we have established a set of corporate criteria and principles based on the Oxford Principles for Net Zero Aligned Carbon Offsetting.",,,,,,,,,,,,
